image_name,image_url
Picture6,https://Mitchell-Bliesner.github.io/Tableau_Images/Tableau%20Image%20Test/4Aug2025/Picture6.png
Picture5,https://Mitchell-Bliesner.github.io/Tableau_Images/Tableau%20Image%20Test/4Aug2025/Picture5.png
Picture2,https://Mitchell-Bliesner.github.io/Tableau_Images/Tableau%20Image%20Test/4Aug2025/Picture2.png
